unique_id,azure_product_name1,azure_vcpu,azure_memory_gb,oci_offer_name_tier_1,oci_offer_name_tier_2,oci_offer_name_tier_3,oci_offer_name_tier_4,oci_compute_shape,oci_part_num_compute_shape,oci_part_num_memory,oci_unit_price_ocpu,oci_unit_price_memory,windows_os_y_n,oci_windows_os_prod_name,oci_windows_os_part_#,oci_unit_price_compute_windows_os,baseline_capacity,months,a1_oci_shape_free_tier_compute,a1_oci_shape_free_tier_memory,a1_oci_shape,not_a1_oci_shape_comp,not_a1_oci_shape_mem,oci_part_num_load_balancer,oci_unit_price_load_balancer,oci_part_num_load_bal_bandwidth,oci_unit_price_load_bal_bandwidth,oci_unit_price_cosmo_write,oci_part_num_cosmo_write,oci_unit_price_cosmo_read,oci_part_num_cosmo_read,oci_unit_price_cosmo_storage,oci_part_num_cosmo_read,oci_unit_price_azure_backup,oci_part_num_azure_backup
D2as v5,Virtual Machines,2,8,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D4as v5,Virtual Machines,4,16,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D8as v5,Virtual Machines,8,32,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D16as v5,Virtual Machines,16,64,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D32as v5,Virtual Machines,32,128,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D48as v5,Virtual Machines,48,192,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D64as v5,Virtual Machines,64,256,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96as v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D2ads v5,Virtual Machines,2,8,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D4ads v5,Virtual Machines,4,16,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D8ads v5,Virtual Machines,8,32,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D16ads v5,Virtual Machines,16,64,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D32ads v5,Virtual Machines,32,128,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D48ads v5,Virtual Machines,48,192,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D64ads v5,Virtual Machines,64,256,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96ads v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D2a v4,Virtual Machines,2,8,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D4a v4,Virtual Machines,4,16,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D8a v4,Virtual Machines,8,32,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D16a v4,Virtual Machines,16,64,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D32a v4,Virtual Machines,32,128,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D48a v4,Virtual Machines,48,192,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D64a v4,Virtual Machines,64,256,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96a v4,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D2as v4,Virtual Machines,2,8,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D4as v4,Virtual Machines,4,16,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D8as v4,Virtual Machines,8,32,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D16as v4,Virtual Machines,16,64,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D32as v4,Virtual Machines,32,128,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D48as v4,Virtual Machines,48,192,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D64as v4,Virtual Machines,64,256,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96as v4,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96d v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96ds v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96 v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D96s v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC2ads v5,Virtual Machines,2,8,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC4ads v5,Virtual Machines,4,16,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC8ads v5,Virtual Machines,8,32,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC16ads v5,Virtual Machines,16,64,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC32ads v5,Virtual Machines,32,128,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC48ads v5,Virtual Machines,48,192,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC64ads v5,Virtual Machines,64,256,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DC96ads v5,Virtual Machines,96,384,Compute,AMD E4 Virtual Compute [On-Demand Instances],Oracle Cloud Infrastructure - Compute - Standard - E4,Oracle Cloud Infrastructure - Compute - Standard - E4 - Memory,VM.Standard.E4.Flex,B93113,B93114,0.025,0.0015,0,Oracle Cloud Infrastructure - Compute - Windows OS,B88318,0.092,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
